Department,District,Block
"Kodagu - Office of The District Skill Development Officer, Skill Development Department",Kodagu,Not Applicable
"Kodagu- Office of the District Statistical Officer, Department of Statistics",Kodagu,Not Applicable
"Kodagu - Office of the Joint Director, Department Of Agriculture",Kodagu,Not Applicable
"Kodagu- Office of The Senior Geologist, Department of Mines and Geology",Kodagu,Not Applicable
Kodagu- Office of The Superintendent of Police,Kodagu,Not Applicable
Kodagu-Public Works Department - PWD,Kodagu,Not Applicable
Kodagu-REVENUE,Kodagu,Not Applicable
Kodagu-Rural Development and Panchayat Raj-RDPR(Z.P),Kodagu,NA
Kodagu-Somvarpet-Rural Development and Panchayat Raj-RDPR(T.P),Kodagu,Somvarpet
Kodagu-Urban Development Cell - DUDC,Kodagu,Not Applicable
Kodagu-Virajpet-Rural Development and Panchayat Raj-RDPR(T.P),Kodagu,Virajpet
Kolar-Bangarapet-Rural Development and Panchayat Raj-RDPR(T.P),Kolar,Bangarapet
Kolar - Department of The Empowerment of diffrently abled and Senior Citizens,Kolar,Not Applicable
Kolar-Deputy Director of Land Records-DDLR,Kolar,Not Applicable
Kolar - District Consumer Disputes Redressal Commission,Kolar,Not Applicable
Kolar - District Institute for Education and Training (DIET),Kolar,Not Applicable
Kolar-District Registrar - DR,Kolar,Not Applicable
Kolar - District Training Institute,Kolar,Not Applicable
Kolar-Food and Civil Supplies - FCS,Kolar,Not Applicable
Kolar - Karnataka Maharshi Valmiki Scheduled Tribes Development Corporation Ltd,Kolar,Not Applicable
Kolar-K G F-Rural Development and Panchayat Raj-RDPR(T.P),Kolar,K G F
Kolar-Kolar-Rural Development and Panchayat Raj-RDPR(T.P),Kolar,Kolar
Kolar-LABOUR,Kolar,Not Applicable
Kolar-Malur-Rural Development and Panchayat Raj-RDPR(T.P),Kolar,Malur
Kolar-Mulbagal-Rural Development and Panchayat Raj-RDPR(T.P),Kolar,Mulbagal
"Kolar -Office of The Assistant Director, Department of Agricultural Marketing",Kolar,Not Applicable
"Kolar - Office of the Deputy commissioner, Department of Excise",Kolar,Not Applicable
"Kolar - Office of the Deputy Director, Department of Animal Husbandry and Veterinary Services",Kolar,Not Applicable
"Kolar - Office of the Deputy Director, Department of Pre University Education",Kolar,Not Applicable
"Kolar - Office of The Deputy Director, Department of Public Instruction",Kolar,Not Applicable
"Kolar - Office of the Deputy Director, Department of Sericulture",Kolar,Not Applicable
"Kolar - Office of the Deputy Director, Department of Social Welfare",Kolar,Not Applicable
"Kolar - Office of the Deputy Director, Department of Women and Child Development",Kolar,Not Applicable
"Kolar - Office of the Deputy Director, District Treasury",Kolar,Not Applicable
"Kolar - Office of the Deputy Director, Fisheries Department",Kolar,Not Applicable
"Kolar - Office of the District Office, Department of Backward Classes Welfare",Kolar,Not Applicable
"Kolar - Office of the District officer, Minority Welfare Department",Kolar,Not Applicable
"Kolar - Office of The District Skill Development Officer, Skill Development Department",Kolar,Not Applicable
"Kolar - Office of the Executive Engineer, Dept of Minor Irrigation and Ground Water Development",Kolar,Not Applicable
"Kolar- Office of the Joint Director, Department of Agriculture",Kolar,Not Applicable
"Kolar - Office of The Joint Director, District Industrial Centre, Dept of Industries & Commerce",Kolar,Not Applicable
Kolar- Office of The Superintendent of Police,Kolar,Not Applicable
Kolar-Public Works Department - PWD,Kolar,Not Applicable
Kolar-REVENUE,Kolar,Not Applicable
Kolar-Rural Development and Panchayat Raj-RDPR(Z.P),Kolar,NA
Kolar-Srinivaspur-Rural Development and Panchayat Raj-RDPR(T.P),Kolar,Srinivaspur
Kolar-Urban Development Cell - DUDC,Kolar,Not Applicable
Koppal - Department of Physicaly disabled and Senior Citizens,Koppal,Not Applicable
"Koppal - Deputy Director office, Horticulture department",Koppal,Not Applicable
Koppal-Deputy Director of Land Records-DDLR,Koppal,Not Applicable
Koppal - District Consumer Disputes and Redressal Commission,Koppal,Not Applicable
Koppal - District Project Office- Karnataka Housing Board,Koppal,Not Applicable
Koppal-District Registrar - DR,Koppal,Not Applicable
Koppal - District Training Institute,Koppal,Not Applicable
Koppal - District Waqf Office,Koppal,Not Applicable
Koppal-Food and Civil Supplies - FCS,Koppal,Not Applicable
Koppal-Gangawati-Rural Development and Panchayat Raj-RDPR(T.P),Koppal,Gangawati
"Koppal - Joint Director office, District Commerce and Industry Department",Koppal,Not Applicable
Koppal-Kanakagiri-Rural Development and Panchayat Raj-RDPR(T.P),Koppal,Kanakagiri
Koppal-Karatagi-Rural Development and Panchayat Raj-RDPR(T.P),Koppal,Karatagi
Koppal- Karnataka Food and Civil Supplies Corporation Limited,Koppal,Not Applicable
Koppal-Koppal-Rural Development and Panchayat Raj-RDPR(T.P),Koppal,Koppal
Koppal-Kuknur-Rural Development and Panchayat Raj-RDPR(T.P),Koppal,Kuknur
Koppal-Kushtagi-Rural Development and Panchayat Raj-RDPR(T.P),Koppal,Kushtagi
Koppal-LABOUR,Koppal,Not Applicable
"Koppal - Office of the Assistant Director, Department of Agricultural Marketing",Koppal,Not Applicable
"Koppal- Office of the Assistant Director, Department of Information and Public Relations",Koppal,Not Applicable
"Koppal- Office of the Assistant Director, Department of Pension, Small Savings, Assets and Liabiliti",Koppal,Not Applicable
"Koppal - Office of the Assistant Director, Department of Town and Country Planning",Koppal,Not Applicable
"Koppal- Office of the Deputy commissioner, Department of Excise",Koppal,Not Applicable
Koppal - Office of the Deputy Commissioner of Co-operative Societies,Koppal,Not Applicable
"Koppal - Office of the Deputy Director,Department of Animal Husbandry and Veterinary Services",Koppal,Not Applicable
"Koppal - office of the Deputy Director, Department of Pre University Eductaion",Koppal,Not Applicable
"Koppal- Office of The Deputy Director, Department of Public Instruction",Koppal,Not Applicable
"Koppal - Office of the Deputy Director, Department of Sericulture",Koppal,Not Applicable
"Koppal- Office of the Deputy Director, Department of Women and Child Welfare",Koppal,Not Applicable
"Koppal - Office of The Deputy Director, District Treasury",Koppal,Not Applicable
Koppal - Office of the District Health and Family Welfare Services Officer,Koppal,Not Applicable
"Koppal - Office of The District Officer, Backward Classes Welfare Department",Koppal,Not Applicable
"Koppal - Office of The District officer, Minority Welfare Department",Koppal,Not Applicable
"Koppal - Office of The District Skill Development Officer, Skill Development Department",Koppal,Not Applicable
"Koppal- Office of The Drug Control Officer, Deparment of Drugs Control",Koppal,Not Applicable
"Koppal- Office of the Executive Engineer, Department of Minor Irrigation and Ground Water Developmen",Koppal,Not Applicable
"Koppal- Office of the Joint Director, Department of Agriculture",Koppal,Not Applicable
"Koppal - Office of the Senior Geologist, Department of Mines and Geology",Koppal,Not Applicable
Koppal- Office of The Superintendent of Police,Koppal,Not Applicable
Koppal-Public Works Department - PWD,Koppal,Not Applicable
Koppal-REVENUE,Koppal,Not Applicable
Koppal-Rural Development and Panchayat Raj-RDPR(Z.P),Koppal,NA
Koppal-Urban Development Cell - DUDC,Koppal,Not Applicable
Koppal-yelbarga-Rural Development and Panchayat Raj-RDPR(T.P),Koppal,yelbarga
Krishna Bhagya Jala Nigam Limited,NA,Not Applicable
Krishna Command Area Development Authorities (CADA),NA,Not Applicable
"KSRTC, Bangalore Central Division",NA,Not Applicable
"KSRTC,Central Tarining Institute , Malur",NA,Not Applicable
"KSRTC, Chamarajanagara Division",NA,Not Applicable
"KSRTC, Chikkaballapura Division",NA,Not Applicable
"KSRTC, Chikkamagaluru Division",NA,Not Applicable
"KSRTC, Chitradurga Division",NA,Not Applicable
"KSRTC, Davanagere Division",NA,Not Applicable
"KSRTC, Hassan Division",NA,Not Applicable
KSRTC Kempegowda Bus Station,NA,Not Applicable
"KSRTC, Kolar Division",NA,Not Applicable
"KSRTC, Mandya Division",NA,Not Applicable
"KSRTC, Mangalore Division",NA,Not Applicable
"KSRTC,Mysuru Rural Division",NA,Not Applicable
"KSRTC, Mysuru Urban Division",NA,Not Applicable
"KSRTC, Puttur Division",NA,Not Applicable
"KSRTC, Ramanagar Division",NA,Not Applicable
KSRTC Regional training Institute Chikkamagaluru,NA,Not Applicable
KSRTC Regional training Institute Hassan,NA,Not Applicable
KSRTC Regional training Institute Malavalli,NA,Not Applicable
KSRTC Regionl Workshop Hassan,NA,Not Applicable
KSRTC Regionl Workshop Kengeri,NA,Not Applicable
"KSRTC,Shivamogga Division",NA,Not Applicable
"KSRTC,Tumakuru Division",NA,Not Applicable
Kundapura Planning Authority,NA,Not Applicable
Kushalnagar Planning Authority,NA,Not Applicable
Kuvempu University,NA,Not Applicable
Law Commission of Karnataka,NA,Not Applicable
Madhugiri - District Institute of Education and Training (DIET),Madhugiri,Not Applicable
Madikeri - Urban Development Authority,Madikeri,Not Applicable
Malur Planning Authority,State Level / Not Applicable,Not Applicable
Mandya-Deputy Director of Land Records-DDLR,Mandya,Not Applicable
Mandya - District Consumer Disputes Redressal Commission,Mandya,Not Applicable
Mandya - District Institute for Education and Training (DIET),Mandya,Not Applicable
Mandya-District Registrar - DR,Mandya,Not Applicable
Mandya-District Training Institute,Mandya,Not Applicable
Mandya-Food and Civil Supplies - FCS,Mandya,Not Applicable
Mandya-Krishnarajpet-Rural Development and Panchayat Raj-RDPR(T.P),Mandya,Krishnarajpet
Mandya-LABOUR,Mandya,Not Applicable
Mandya-Maddur-Rural Development and Panchayat Raj-RDPR(T.P),Mandya,Maddur
Mandya-Malavalli-Rural Development and Panchayat Raj-RDPR(T.P),Mandya,Malavalli
Mandya-Mandya-Rural Development and Panchayat Raj-RDPR(T.P),Mandya,Mandya
Mandya-Nagamangala-Rural Development and Panchayat Raj-RDPR(T.P),Mandya,Nagamangala
"Mandya- Office of the Assiatant Director, Department of Kannada and Culture",Mandya,Not Applicable
"Mandya- Office of The Assistant Director, Department of Information and Public Relations",Mandya,Not Applicable
"Mandya- Office of The Assistant Executive Engineer, Department of Minor Irrigation and Ground Water",Mandya,Not Applicable
"Mandya- Office of The Deputy Commissioner of Excise, Department of Excise",Mandya,Not Applicable
"Mandya - Office of the Deputy Director, Department Of Agricultural Marketing",Mandya,Not Applicable
"Mandya- Office of the Deputy Director, Department of Animal Husbandry and Veterinary Services",Mandya,Not Applicable
"Mandya- Office of the Deputy Director, Department of Handlooms and Textiles",Mandya,Not Applicable
"Mandya- Office of the Deputy Director, Department of Horticulture",Mandya,Not Applicable
"Mandya- Office of The Deputy Director, Department of Pre- University Education",Mandya,Not Applicable
"Mandya- Office of The Deputy Director, Department of Public Instruction",Mandya,Not Applicable
"Mandya- Office of the Deputy Director, Department of Sericulture",Mandya,Not Applicable
"Mandya - Office of The Deputy Director, Department of Social Welfare",Mandya,Not Applicable
"Mandya- Office of the Deputy Director, Department of Women and Child Development",Mandya,Not Applicable
"Mandya - Office of the Deputy Director, District Treasury",Mandya,Not Applicable
Mandya- Office of the District Health and Family Welfare Officer,Mandya,Not Applicable
"Mandya- Office of the District Office, Department of Backward classes welfare",Mandya,Not Applicable
"Mandya- Office of The District Skill Development Officer, Department of Skill Development, Enterpren",Mandya,Not Applicable
"Mandya- Office of the District Statistical Officer, Department of Statistics",Mandya,Not Applicable
"Mandya- Office of the Executive Engineer, Karnataka Rural Infrastructure Development Limited",Mandya,Not Applicable
"Mandya- Office of the Joint Director, Department of Agriculture",Mandya,Not Applicable
"Mandya- Office of The Joint Director, District Industrial Centre, Department of Industries and Comme",Mandya,Not Applicable
"Mandya- Office of The Registrar of Co-operative Societies, Department of Co-operation",Mandya,Not Applicable
Mandya- Office of The Superintendent of Police,Mandya,Not Applicable
Mandya-Pandavapura-Rural Development and Panchayat Raj-RDPR(T.P),Mandya,Pandavapura
Mandya-Public Works Department - PWD,Mandya,Not Applicable
"Mandya- Regional Office, Karnataka State Pollution Control Board",Mandya,Not Applicable
Mandya-REVENUE,Mandya,Not Applicable
Mandya-Rural Development and Panchayat Raj-RDPR(Z.P),Mandya,NA
Mandya-Shrirangapattana-Rural Development and Panchayat Raj-RDPR(T.P),Mandya,Shrirangapattana
Mandya-Urban Development Cell - DUDC,Mandya,Not Applicable
Mangalore-Department of Electrical Inspectorate,Mangalore,Not Applicable
Mangalore - Karnataka Urban Water Supply and Drainage Board,Mangalore,Not Applicable
Mangalore University,State Level / Not Applicable,Not Applicable
Mangaluru Electricity Supply Company Limited-(Corporate Office),Mangaluru Electricity Supply Company Limited,Not Applicable
Mangaluru Electricity Supply Company Limited-(Mangaluru Zone),Mangaluru Electricity Supply Company Limited,Not Applicable
Mangaluru Electricity Supply Company Limited-(Shivamogga Zone),Mangaluru Electricity Supply Company Limited,Not Applicable
Mangaluru- Office of the commissioner of police,Mangaluru,Not Applicable
Mission Director Deendayal Antyodaya Yojana-National Urban Livelihoods,Mission Director Deendayal Antyodaya Yojana,Not Applicable
Moodbidri Planning Authority,Moodbidri,Not Applicable
Mudhol Planning Authority,Mudhol,Not Applicable
Mysore-Department of Electrical Inspectorate,Mysore,Not Applicable
Mysore Sales International Limited,NA,Not Applicable
Mysuru-City Corporation,Mysuru,Not Applicable
Mysuru - College of Teacher Education,Mysuru,Not Applicable
"Mysuru- Department of Archaeology, Museums and Heritage",Mysuru,Not Applicable
Mysuru-Deputy Director of Land Records-DDLR,Mysuru,Not Applicable
Mysuru- District Consumer Disputes and Redressal Commission,Mysuru,Not Applicable
Mysuru - District Institute of Education and Training (DIET),Mysuru,Not Applicable
Mysuru-District Registrar - DR,Mysuru,Not Applicable
Mysuru- District Training Institute,Mysuru,Not Applicable
Mysuru - District Waqf Office,Mysuru,Not Applicable
Mysuru-Food and Civil Supplies - FCS,Mysuru,Not Applicable
Mysuru-Heggadadevana Kote-Rural Development and Panchayat Raj-RDPR(T.P),Mysuru,Heggadadevana Kote
Mysuru-Hunsur-Rural Development and Panchayat Raj-RDPR(T.P),Mysuru,Hunsur
Mysuru - Karnataka Maharshi Valmiki Scheduled Tribes Development Corporation Ltd,Mysuru,Not Applicable
"Mysuru- Karnataka State Road Transport Corporation, Mysuru Urban Transport Division",Mysuru,Not Applicable
Mysuru-Krishnarajanagara-Rural Development and Panchayat Raj-RDPR(T.P),Mysuru,Krishnarajanagara
Mysuru-LABOUR,Mysuru,Not Applicable
Mysuru-Mysuru-Rural Development and Panchayat Raj-RDPR(T.P),Mysuru,Mysuru
Mysuru-Nanjangud-Rural Development and Panchayat Raj-RDPR(T.P),Mysuru,Nanjangud
"Mysuru- Office of The Assistant Director, Department of Social Welfare",Mysuru,Not Applicable
"Mysuru- Office of The Assistant Director, Department of Tourism",Mysuru,Not Applicable
"Mysuru - Office of the Assistant Director, Town & Country Planning",Mysuru,Not Applicable
"Mysuru - Office of The Chief Engineer (Electricity),Transmission zone, KPTCL",Mysuru,Not Applicable
"Mysuru- Office of The Chief Librarian, City Central Library, Department of Public Library",Mysuru,Not Applicable
Mysuru- Office of the commissioner of police,Mysuru,Not Applicable
"Mysuru - Office of the Deputy Director, Department of Agricultural Marketing",Mysuru,Not Applicable
"Mysuru- Office of The Deputy Director, Department of Horticulture",Mysuru,Not Applicable
"Mysuru- Office of The Deputy Director, Department of Pre University Education",Mysuru,Not Applicable
"Mysuru - Office of the Deputy Director, Department of School Education",Mysuru,Not Applicable
"Mysuru - Office of The Deputy Director, Department of Sericulture",Mysuru,Not Applicable
"Mysuru- Office of The Deputy Director, Department of Women and Child Development",Mysuru,Not Applicable
"Mysuru -Office of the Deputy Director, Dept of Animal Husbandry and Veterinary Services",Mysuru,Not Applicable
"Mysuru-Office of the Deputy Director, Regional Forensic Science laboratory",Mysuru,Not Applicable
Mysuru- Office of The District Health and Family Welfare Officer,Mysuru,Not Applicable
"Mysuru- Office of The District Officer, Backward classes Welfare Department",Mysuru,Not Applicable
"Mysuru - Office of The District officer, Minority Welfare Department",Mysuru,Not Applicable
"Mysuru - Office of The District Skill Development Officer, Skill Development Department",Mysuru,Not Applicable
Mysuru- Office of the District Statistical Officer,Mysuru,Not Applicable
"Mysuru- Office of the Executive Engineer, Department of Minor Irrigation and Ground Water Developmen",Mysuru,Not Applicable
"Mysuru - Office of the Joint Director, Department of Agriculture",Mysuru,Not Applicable
"Mysuru- Office of The Joint Director, District Industiral Centre",Mysuru,Not Applicable
"Mysuru - Office of the Joint Director, District Treasury",Mysuru,Not Applicable
"Mysuru - Office of the Joint Director, Town & Country Planning",Mysuru,Not Applicable
Mysuru-Office of the Joint Registrar of Cooperative Societies,Mysuru,Not Applicable
Mysuru- Office of The Superintendent of Police,Mysuru,Not Applicable
Mysuru-Piriyapatna-Rural Development and Panchayat Raj-RDPR(T.P),Mysuru,Piriyapatna
Mysuru - Police Training School,Mysuru,Not Applicable
Mysuru-Public Works Department - PWD,Mysuru,Not Applicable
Mysuru - Regional Joint Director Department of Collegiate Education,Mysuru,Not Applicable
Mysuru-REVENUE,Mysuru,Not Applicable
Mysuru-Rural Development and Panchayat Raj-RDPR(Z.P),Mysuru,NA
Mysuru-Saraguru-Rural Development and Panchayat Raj-RDPR(T.P),Mysuru,Saraguru
Mysuru-T Narsipur-Rural Development and Panchayat Raj-RDPR(T.P),Mysuru,T Narsipur
Mysuru University,NA,Not Applicable
Mysuru-Urban Development Cell - DUDC,Mysuru,Not Applicable
"Nandi Medical College and Research Institute, Chikkaballapura",NA,Not Applicable
NCC Directorate (NCC Cell),NA,Not Applicable
Nijasharana Ambigara Chowdaiah Development Corporation Limited,NA,Not Applicable
Nippani Planning Authority,NA,Not Applicable
Non Resident Indian Forum,NA,Not Applicable
"North Western Karnataka Road Transport Corporation, Central Office(Accounts Dept)",NA,Not Applicable
"North Western Karnataka Road Transport Corporation, Central Office(Board Dept)",NA,Not Applicable
"North Western Karnataka Road Transport Corporation, Central Office(Civil Dept)",NA,Not Applicable
"North Western Karnataka Road Transport Corporation, Central Office(IT Dept)",NA,Not Applicable
"North Western Karnataka Road Transport Corporation,Central Office(Labour Dept)",NA,Not Applicable
"North Western Karnataka Road Transport Corporation, Central Office(Law Dept)",NA,Not Applicable
"North Western Karnataka Road Transport Corporation, Central Office(Personnel Dept)",NA,Not Applicable
"North Western Karnataka Road Transport Corporation,Central Office(Security Dept)",NA,Not Applicable
"North Western Karnataka Road Transport Corporation, Central Office(Statistical Dept)",NA,Not Applicable
"North Western Karnataka Road Transport Corporation, Central Office(Stores Dept)",NA,Not Applicable
"North Western Karnataka Road Transport Corporation, Central Office(Technical Dept)",NA,Not Applicable
"North Western Karnataka Road Transport Corporation, Central Office(Traffic Dept)",NA,Not Applicable
"North West Karnataka Road Transport Corporation, Bagalkot Division(NWKRTC)",NA,Not Applicable
"North West Karnataka Road Transport Corporation, Belagavi Division(NWKRTC)",NA,Not Applicable
"North West Karnataka Road Transport Corporation, Chikkodi Division(NWKRTC)",NA,Not Applicable
"North West Karnataka Road Transport Corporation, Dharwad Division(NWKRTC)",NA,Not Applicable
"North West Karnataka Road Transport Corporation, Gadag Division(NWKRTC)",NA,Not Applicable
"North West Karnataka Road Transport Corporation, Haveri Division(NWKRTC)",NA,Not Applicable
"North West Karnataka Road Transport Corporation, Hubbali Rural Division(NWKRTC)",NA,Not Applicable
"North West Karnataka Road Transport Corporation, Hubballi-Dharwad City Division(NWKRTC)",NA,Not Applicable
"North West Karnataka Road Transport Corporation, Regional Training Centre, Hubbali(NWKRTC)",NA,Not Applicable
"North West Karnataka Road Transport Corporation, Regional Workshop, Hubbali(NWKRTC)",NA,Not Applicable
"North West Karnataka Road Transport Corporation, Shirasi Division(NWKRTC)",NA,Not Applicable
Office of Director General and Inspector General of Police,NA,Not Applicable
"Office of Engineer in Chief,Minor Irrigation (North Zone)",NA,Not Applicable
"Office of Engineer in Chief,Minor Irrigation (South Zone)",NA,Not Applicable
Office of Sericulture Development Commissioner and Director of Sericulture,NA,Not Applicable
"Office of the Additional Director, State Cyber Treasury Bengaluru",NA,Not Applicable
"Office of the ADGP, Training- Carlton Bhavan",NA,Not Applicable
"Office of the Administrator, Tungabhadra Project, Command Area Development Authority, Munirabad.",NA,Not Applicable
"Office of the Chief Engineer, National Highways, Bengaluru",NA,Not Applicable
"Office of the Chief Engineer, Water Resource Department",NA,Not Applicable
"Office of The Chief Secretary, Vidhana Soudha",NA,Not Applicable
Office of the commandant-12th Battalion Karnataka state Reserve Police,NA,Not Applicable
Office of the Commissioner Animal Husbandry and Veterinary Services Department,NA,Not Applicable
"Office of the Commissioner, Centralised Admission Cell, School Education Department",NA,Not Applicable
"Office of the Commissioner, Department of Collegiate Education",NA,Not Applicable
"Office of the Commissioner Food, Civil Supplies and Consumer Affairs Department",NA,Not Applicable
"Office of the Commissioner, School Education Department",NA,Not Applicable
"Office of the commissioner, Survey Settlement and Land Records(SSLR)",NA,Not Applicable
"Office of the Commissioner, Transport and Road Safety",NA,Not Applicable
"Office of the Deputy Director, Additional State Huzur Treasury Bengaluru",NA,Not Applicable
Office of the Deputy Director Central Accounting Unit Bengaluru,NA,Not Applicable
"Office of the Deputy Director, Regional Forensic Science Laboratory, Mangaluru",NA,Not Applicable
"Office of the Deputy Inspector General of Police, North Eastern Range Kalaburagi",NA,Not Applicable
"Office of the Director, Department of Public Libraries",NA,Not Applicable
"Office of the Director, Department of School Education(Pre University)",NA,Not Applicable
"Office of the Director, Dr Babu Jagajeevana Ram Research Institute",NA,Not Applicable
"Office of the Inspector General of Police, Belagavi (Northern Range)",NA,Not Applicable
"Office of the Inspector General of Police, Bengaluru (Central Zone)",NA,Not Applicable
"Office of the Inspector General of Police, Mangaluru (Western Range)",NA,Not Applicable
"Office of the Inspector General of Police, Mysuru (Southern Range)",NA,Not Applicable
"Office of the Joint Director, School Education Department, Bengaluru Division",NA,Not Applicable
"Office of the Principal Chief Conservator of Forest, (Head of Forest F",NA,Not Applicable
"Office of the Regional Commissioner, Belagavi Division",NA,Not Applicable
"Office of the State Project Director,Samagra Shikshana Karnataka",NA,Not Applicable
"Office of the Treasury Commissioner, Department of Treasury",NA,Not Applicable
Pilikula Development Authority,NA,Not Applicable
Power Company Of Karnataka Ltd,NA,Not Applicable
Puttur Planning Authority,NA,Not Applicable
Rabakavi - Banahatti Planning Authority,Rabakavi,Not Applicable
Raichur-Deputy Director of Land Records-DDLR,Raichur,Not Applicable
Raichur-Devadurga-Rural Development and Panchayat Raj-RDPR(T.P),Raichur,Devadurga
Raichur - District Consumer Disputes Redressal Commission,Raichur,Not Applicable
Raichur-District Registrar - DR,Raichur,Not Applicable
Raichur - District Training Institute,Raichur,Not Applicable
Raichur-Food and Civil Supplies - FCS,Raichur,Not Applicable
"Raichur Institute of Medical sciences, Raichur",State Level / Not Applicable,Not Applicable
Raichur-LABOUR,Raichur,Not Applicable
Raichur-Lingsugur-Rural Development and Panchayat Raj-RDPR(T.P),Raichur,Lingsugur
Raichur-Manvi-Rural Development and Panchayat Raj-RDPR(T.P),Raichur,Manvi
Raichur-Maski-Rural Development and Panchayat Raj-RDPR(T.P),Raichur,Maski
"Raichur- Office of The Assistant Director, Department of Textiles and Handlooms",Raichur,Not Applicable
"Raichur- Office of the Assistant Director, Department of Town and Country Planning",Raichur,Not Applicable
"Raichur - Office of The Deputy Director, Department of Agricultural Marketing",Raichur,Not Applicable
"Raichur-Office of The Deputy Director, Department of Horticulture",Raichur,Not Applicable
"Raichur- Office of The Deputy Director, Department of Public Instruction",Raichur,Not Applicable
"Raichur - Office of the Deputy Director, Department of School Education(Pre University)",Raichur,Not Applicable
"Raichur- Office of the Deputy Director, Department of Social Welfare",Raichur,Not Applicable
"Raichur- Office of The Deputy Director, Department of Women and Child Development",Raichur,Not Applicable
"Raichur - Office of the Deputy Director, District Treasury",Raichur,Not Applicable
Raichur- Office of The District Health and Family Welfare Officer,Raichur,Not Applicable
"Raichur- Office of the District Officer, Backward Class Welfare Department",Raichur,Not Applicable
"Raichur- Office of The District Officer, Minority Welfare Department",Raichur,Not Applicable
"Raichur - Office of The District Skill Development Officer, Skill Development Department",Raichur,Not Applicable
Raichur-Office of the Executive Engineer Panchayat Raj(Engineering Division),Raichur,Not Applicable
"Raichur- Office of The Joint Director, Department of Agriculture",Raichur,Not Applicable
"Raichur- Office of The Joint Director, District Industrial Centre, Department of Ind & Comm",Raichur,Not Applicable
Raichur- Office of The Superintendent of Police,Raichur,Not Applicable
Raichur-Public Works Department - PWD,Raichur,Not Applicable
Raichur-Raichur-Rural Development and Panchayat Raj-RDPR(T.P),Raichur,Raichur
"Raichur- Regional Office, Karnataka State Pollution Control Board",Raichur,Not Applicable
Raichur-REVENUE,Raichur,Not Applicable
Raichur-Rural Development and Panchayat Raj-RDPR(Z.P),Raichur,NA
Raichur-Sindhnur-Rural Development and Panchayat Raj-RDPR(T.P),Raichur,Sindhnur
Raichur-Sirwar-Rural Development and Panchayat Raj-RDPR(T.P),Raichur,Sirwar
Raichur- Sub Regional Science Center,Raichur,Not Applicable
Raichur-The Hutti Gold Mines Company Limited,Raichur,Not Applicable
Raichur-Urban Development Cell- DUDC,Raichur,Not Applicable
Rail Infrastructure Development Company(Karnataka) Limited,Karnataka,Not Applicable
Rajeev Gandhi Housing Corporation,NA,Not Applicable
"Rajeev Gandi University of Health Science , Karnataka",NA,Not Applicable
Ramadurga Planning Authority,NA,Not Applicable
Ranebennur Planning Authority,NA,Not Applicable
Rani Channamma University,NA,Not Applicable
"Registrar of Cooperative Societies , Bangalore",NA,Not Applicable
Sagara Planning Authority,NA,Not Applicable
Scheduled Tribes welfare department,NA,Not Applicable
Science Gallery Bengaluru,NA,Not Applicable
Secretariat - Agriculture,NA,Not Applicable
Secretariat - Animal Husbandry and Fisheries Department,NA,Not Applicable
Secretariat - Backward Classes Welfare Department,NA,Not Applicable
Secretariat - Chief Minister Office,NA,Not Applicable
Secretariat - Commerce and Industries Department,NA,Not Applicable
Secretariat - Cooperation Department,NA,Not Applicable
Secretariat - Department of Parliamentary Affairs and Legislation,NA,Not Applicable
Secretariat - Department of Personnel and Administrative Reforms (DPAR),NA,Not Applicable
Secretariat - Department of Personnel and Administrative Reforms (DPAR-AR),NA,Not Applicable
Secretariat - Department of Personnel and Administrative Reforms(DPAR e-Gov),NA,Not Applicable
Secretariat - eITBT and S&T,NA,Not Applicable
Secretariat - Energy Department,NA,Not Applicable
Secretariat - Finance Department,NA,Not Applicable
Secretariat - Food and Civil Supplies (FCS),NA,Not Applicable
Secretariat - Forest,NA,Not Applicable
Secretariat - Health and Family Welfare department,NA,Not Applicable
Secretariat - Higher Education Department,NA,Not Applicable
Secretariat - HOME,NA,Not Applicable
Secretariat - Horticulture Department,NA,Not Applicable
Secretariat - Housing department,NA,Not Applicable
Secretariat - Information and Public Relation Department,NA,Not Applicable
"Secretariat - Infrastructure Development, Ports & Inland Water Transp",NA,Not Applicable
Secretariat - Kannada and Culture Department,NA,Not Applicable
Secretariat - LABOUR,NA,Not Applicable
Secretariat - Law,NA,Not Applicable
Secretariat - Medical Education,NA,Not Applicable
Secretariat - Minor Irrigation and Ground water development Department,NA,Not Applicable
Secretariat - Minorities Welfare Haz and Wakf Department,NA,Not Applicable
"Secretariat - Planning, Programme Monitoring and Statistics Department",NA,Not Applicable
Secretariat - Primary and Secondary Education,NA,Not Applicable
Secretariat - Public Works Department - PWD,NA,Not Applicable
Secretariat - REVENUE,NA,Not Applicable
Secretariat - Rural Development and Panchayat Raj - RDPR,NA,Not Applicable
Secretariat - Scheduled Tribes Welfare Department,NA,Not Applicable
Secretariat - Sericulture,NA,Not Applicable
"Secretariat - Skill Development , Entertreneurship and Livelihood Depart",NA,Not Applicable
Secretariat - Social welfare Department,NA,Not Applicable
Secretariat - Tourism Department,NA,Not Applicable
Secretariat - Transport Department,NA,Not Applicable
Secretariat - Urban Development - UD,NA,Not Applicable
Secretariat - Water Resources,NA,Not Applicable
Secretariat - Women and Child development Empowerment of differently Abled and Senior Citizens,NA,Not Applicable
Secretariat - Youth Empowerment and Sports,NA,Not Applicable
Sedam Planning Authority,NA,Not Applicable
Shidlaghatta Planning Authority,Shivamogga,Not Applicable
